LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Number of Lines,Impedance @ Frequency,Tolerance,DC Resistance(DCR),Current Rating,Operating Temperature
C275437,MMZ1608B601CTDH5,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C275437,1200,0.0204,50,50,https://www.lcsc.com/product-detail/C275437.html,0603,Tape & Reel (TR),1,600Ω@100MHz,±25%,400mΩ,500mA,-55℃~+125℃
C2661555,MMZ1608Y121BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C2661555,1180,0.0171,10,10,https://www.lcsc.com/product-detail/C2661555.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,200mΩ,500mA,-55℃~+125℃
C337876,BLM15HD182SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/949688f0d390594e22f1a605d5b87de0.pdf?productCode=C337876,1180,0.0289,20,20,https://www.lcsc.com/product-detail/C337876.html,0402,Tape & Reel (TR),1,1.8kΩ@100MHz,±25%,2.2Ω,200mA,-55℃~+125℃
C5119332,MMZ1608R471ATD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/fab8d2d2124d001f5f7e194a14e1d56a.pdf?productCode=C5119332,1170,0.0309,10,10,https://www.lcsc.com/product-detail/C5119332.html,0603,Tape & Reel (TR),1,470Ω@100MHz,±25%,300mΩ,500mA,-55℃~+125℃
C7509791,BLM15PX121SH1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/d12c04bbd2c2d6885be3ff9ad21057d0.pdf?productCode=C7509791,1165,0.2488,5,5,https://www.lcsc.com/product-detail/C7509791.html,0402,Tape & Reel (TR),1,120Ω@100MHz,±25%,55mΩ,2A,-55℃~+125℃
C2661781,BLM21SP601SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/96b1d158e42337f37079de46ae75614b.pdf?productCode=C2661781,1155,0.2943,5,5,https://www.lcsc.com/product-detail/C2661781.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,60mΩ,2.3A,-55℃~+125℃
C275489,MPZ1608Y221BTA00,TDK,https://datasheet.lcsc.com/datasheet/pdf/5525eadde63874e80c8e8f485485d5a6.pdf?productCode=C275489,1150,0.0183,50,50,https://www.lcsc.com/product-detail/C275489.html,0603,Tape & Reel (TR),1,220Ω@100MHz,±25%,100mΩ,1.5A,-55℃~+125℃
C139462,MG2029-101Y,BOURNS,https://datasheet.lcsc.com/datasheet/pdf/31ed0ecc3b384ba7b1cef9c9b67c407b.pdf?productCode=C139462,1110,0.0879,5,5,https://www.lcsc.com/product-detail/C139462.html,0805,Tape & Reel (TR),1,100Ω@100MHz,±25%,200mΩ,400mA,-55℃~+125℃
C404681,MPZ1608Y151BTD25,TDK,https://datasheet.lcsc.com/datasheet/pdf/f736b4933bebc4d7fd9d10965ffea16d.pdf?productCode=C404681,1100,0.0143,50,50,https://www.lcsc.com/product-detail/C404681.html,0603,Tape & Reel (TR),1,150Ω@100MHz,±25%,50mΩ,1.8A,-55℃~+125℃
C2661863,ILHB0805ER300V,VISHAY,https://datasheet.lcsc.com/datasheet/pdf/81b9e9343e224a95572db45938f6d2fe.pdf?productCode=C2661863,1060,0.0954,5,5,https://www.lcsc.com/product-detail/C2661863.html,0805,Tape & Reel (TR),1,30Ω@100MHz,±25%,15mΩ,6A,-55℃~+125℃
C882965,BLM15PX601SN1D11,muRata,https://datasheet.lcsc.com/datasheet/pdf/e75043babdebbe8ca9dd2e0ea70ebad9.pdf?productCode=C882965,1050,0.0105,50,50,https://www.lcsc.com/product-detail/C882965.html,0402,Tape & Reel (TR),,600Ω@100MHz,±25%,230mΩ,,-55℃~+125℃
C3716631,BLM21SP111SZ1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/6feb9936a5dd65821d035ffde2a6b254.pdf?productCode=C3716631,1035,0.2669,5,5,https://www.lcsc.com/product-detail/C3716631.html,0805,Tape & Reel (TR),1,110Ω@100MHz,±25%,13mΩ,5A,-55℃~+125℃
C1533919,BLM21SP102SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/719acac2f32b4402199474b8a0828e61.pdf?productCode=C1533919,995,0.2500,5,5,https://www.lcsc.com/product-detail/C1533919.html,0805,Tape & Reel (TR),1,1kΩ@100MHz,±25%,120mΩ,1.6A,-55℃~+125℃
C41556732,BLM21PG601SN1D,muRata,https://datasheet.lcsc.com/datasheet/pdf/cc3320cc5ae104a9a8bdc79a4d6b2654.pdf?productCode=C41556732,990,0.1031,5,5,https://www.lcsc.com/product-detail/C41556732.html,0805,Tape & Reel (TR),1,600Ω@100MHz,±25%,140mΩ,1.4A,-55℃~+125℃
C5558001,BMC1JY0052AN,TE Connectivity,https://datasheet.lcsc.com/datasheet/pdf/2d281cbff39dc0ea61e863cd08cdf44c.pdf?productCode=C5558001,990,0.0321,10,10,https://www.lcsc.com/product-detail/C5558001.html,0603,Tape & Reel (TR),1,52Ω@100MHz,±25%,150mΩ,400mA,-55℃~+125℃
C338244,NFZ18SM121SN10D,muRata,https://datasheet.lcsc.com/datasheet/pdf/bdffb4b0fc4e90507b0f71914fabf1ab.pdf?productCode=C338244,990,0.0917,5,5,https://www.lcsc.com/product-detail/C338244.html,0603,Tape & Reel (TR),1,120Ω@100MHz,±25%,140mΩ,1.25A,-55℃~+125℃
