LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Frequency,Frequency Stability,Normal temperature Frequency Tolerance,Output Type,Voltage - Supply,Current - Supply,Operating Temperature,Load Capacitance,Equivalent Series Resistance(ESR),Features
C7420698,SX20Y024000B81T001,TKD,,29770,0.0722,10,10,https://www.lcsc.com/product-detail/C7420698.html,SMD2016-4P,Tape & Reel (TR),24MHz,,±10ppm,,,,,8pF,60Ω,
C2965579,XL7EL89COI-111YLC-16M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2965579,29610,0.0766,5,5,https://www.lcsc.com/product-detail/C2965579.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,100Ω,
C907541,SF32WK32768D71T005,TKD,https://datasheet.lcsc.com/datasheet/pdf/2deed9019dd5eac6297f8146ec5ea8d9.pdf?productCode=C907541,28595,0.1847,5,5,https://www.lcsc.com/product-detail/C907541.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+85℃,7pF,-,
C7420711,SX20Y040000B91T001,TKD,,28460,0.0725,10,10,https://www.lcsc.com/product-detail/C7420711.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,,9pF,40Ω,
C49158215,Y321532768KSCCX,JLYE,https://datasheet.lcsc.com/datasheet/pdf/207ca362b92ef0bff69b5673eb4c306b.pdf?productCode=C49158215,28130,0.1488,5,5,https://www.lcsc.com/product-detail/C49158215.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,,
C620155,X321532768KGD2SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/816678a814b266af727e313205c8e9b5.pdf?productCode=C620155,28120,0.2416,5,5,https://www.lcsc.com/product-detail/C620155.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C5339095,TX201632M4BBCE2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/59fed67d0bb58b93ed6be7ac710c72b1.pdf?productCode=C5339095,27880,0.0757,10,10,https://www.lcsc.com/product-detail/C5339095.html,SMD2016-4P,Tape & Reel (TR),32MHz,±30ppm,±10ppm,,,,-40℃~+85℃,8pF,40Ω,
C7420222,SX20Y032000B81T001,TKD,,25050,0.0707,10,10,https://www.lcsc.com/product-detail/C7420222.html,SMD2016-4P,Tape & Reel (TR),32MHz,,±10ppm,,,,,8pF,50Ω,
C2682773,X201632MOB4SI,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2682773,23950,0.1119,5,5,https://www.lcsc.com/product-detail/C2682773.html,SMD2016-4P,Tape & Reel (TR),32MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,80Ω,
C7420705,SX20Y027120BA1T001,TKD,,23505,0.0823,5,5,https://www.lcsc.com/product-detail/C7420705.html,SMD2016-4P,Tape & Reel (TR),27.12MHz,,±10ppm,,,,,10pF,80Ω,
C1884538,SX20Y026000B91T005,TKD,https://datasheet.lcsc.com/datasheet/pdf/65d84f7113624d6ada0fc61b3c006cce.pdf?productCode=C1884538,23250,0.0684,10,10,https://www.lcsc.com/product-detail/C1884538.html,SMD2016-4P,Tape & Reel (TR),26MHz,±15ppm,±10ppm,,,,-40℃~+85℃,9pF,50Ω,
C156245,NX3215SA-32.768K-STD-MUA-8,NDK,https://datasheet.lcsc.com/datasheet/pdf/8399211df9fc40c6a183dbb973dc6e92.pdf?productCode=C156245,22700,0.2724,5,5,https://www.lcsc.com/product-detail/C156245.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C19076879,KFC3276812520K,KYX,https://datasheet.lcsc.com/datasheet/pdf/2d92e86960ec89309a7b876501d2cceb.pdf?productCode=C19076879,22625,0.1622,5,5,https://www.lcsc.com/product-detail/C19076879.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,,±20ppm,,,,,12.5pF,,
C19076736,K2B400001510,KYX,https://datasheet.lcsc.com/datasheet/pdf/67d1f5d7c9664d5a074c0f2a0797ca04.pdf?productCode=C19076736,22330,0.0670,10,10,https://www.lcsc.com/product-detail/C19076736.html,SMD2016-4P,Tape & Reel (TR),40MHz,,±10ppm,,,,,15pF,30Ω,
C2965578,XL7EL89CLI-111YLC-16M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C2965578,22325,0.0870,5,5,https://www.lcsc.com/product-detail/C2965578.html,SMD2016-4P,Tape & Reel (TR),16MHz,±20ppm,±10ppm,,,,-40℃~+85℃,9pF,100Ω,
C37635396,XOS20024000LT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/520e0007995304d68afc02d6c8d28772.pdf?productCode=C37635396,22190,0.3014,1,1,https://www.lcsc.com/product-detail/C37635396.html,SMD2016-4P,Tape & Reel (TR),24MHz,±20ppm,±10ppm,CMOS,1.62V~3.63V,5mA,-40℃~+85℃,,,
C841881,Q13FC13500005,EPSON,https://datasheet.lcsc.com/datasheet/pdf/156aaee6aad6b471f6cbdc044a83656b.pdf?productCode=C841881,20665,0.2643,5,5,https://www.lcsc.com/product-detail/C841881.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±10ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C5640801,X1A000161000116,EPSON,https://datasheet.lcsc.com/datasheet/pdf/c8971a0eb0d8ca594e030c4bb3421a38.pdf?productCode=C5640801,20250,0.1755,5,5,https://www.lcsc.com/product-detail/C5640801.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,-,±20ppm,,,,-40℃~+105℃,12.5pF,60kΩ,
C37635394,XOS20012000LT00351005,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/520e0007995304d68afc02d6c8d28772.pdf?productCode=C37635394,20174,0.3054,1,1,https://www.lcsc.com/product-detail/C37635394.html,SMD2016-4P,Tape & Reel (TR),12MHz,±20ppm,±10ppm,CMOS,1.62V~3.63V,5mA,-40℃~+85℃,,,
C2835990,K2B400000810,KYX,https://datasheet.lcsc.com/datasheet/pdf/f4c5a65c99b5336bc3343721f74e2f67.pdf?productCode=C2835990,20120,0.0932,5,5,https://www.lcsc.com/product-detail/C2835990.html,SMD2016-4P,Tape & Reel (TR),40MHz,±20ppm,±10ppm,,,,-40℃~+85℃,8pF,30Ω,
C145167,TCXM32768K2NGDCZT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/927cb6a17fcfa8ba971f29aaa5ddf895.pdf?productCode=C145167,19470,0.1787,5,5,https://www.lcsc.com/product-detail/C145167.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±30ppm,±20ppm,,,,-40℃~+85℃,12.5pF,80kΩ,
C37635362,XTF32032768KT00351011,TOGNJING,https://datasheet.lcsc.com/datasheet/pdf/7c740c11d0b41488c4aabb261066380b.pdf?productCode=C37635362,19240,0.1869,5,5,https://www.lcsc.com/product-detail/C37635362.html,SMD3215-2P,Tape & Reel (TR),32.768kHz,±10ppm;±20ppm,±10ppm,,,,-40℃~+85℃,12.5pF,70kΩ,
C390792,S2125000101080,JGHC,https://datasheet.lcsc.com/datasheet/pdf/3eaf4b9458c808c23e9ed5e14a8ffe6b.pdf?productCode=C390792,18600,0.0866,5,5,https://www.lcsc.com/product-detail/C390792.html,SMD2016-4P,Tape & Reel (TR),25MHz,,±10ppm,,,,-40℃~+85℃,10pF,80Ω,
C388797,TAXM32M4ZFBCCT2T,Yajingxin,https://datasheet.lcsc.com/datasheet/pdf/41fd2603922090f059cd6d262317a073.pdf?productCode=C388797,18180,0.0823,10,10,https://www.lcsc.com/product-detail/C388797.html,SMD2016-4P,Tape & Reel (TR),32MHz,±10ppm,±10ppm,,,,-40℃~+85℃,12pF,80Ω,
C187794,Q22FA12800025,EPSON,https://datasheet.lcsc.com/datasheet/pdf/f876eb09c12f3cddf705856abc38719c.pdf?productCode=C187794,17620,0.2547,5,5,https://www.lcsc.com/product-detail/C187794.html,SMD2016-4P,Tape & Reel (TR),32MHz,±10ppm,±10ppm,,,,-20℃~+75℃,8pF,60Ω,
C2901739,SX1B32.000F1210F30,SCTF,https://datasheet.lcsc.com/datasheet/pdf/13229e0c60531151aa04379404d8b21a.pdf?productCode=C2901739,17575,0.0610,5,5,https://www.lcsc.com/product-detail/C2901739.html,SMD2016-4P,Tape & Reel (TR),32MHz,±30ppm,±10ppm,,,,-40℃~+85℃,12pF,60Ω,
C20617996,XL7EL89COI-111YLC-25M,YXC Crystal Oscillators,https://datasheet.lcsc.com/datasheet/pdf/03f32cc3dfdcdfc9fffa8449db791193.pdf?productCode=C20617996,17435,0.0844,5,5,https://www.lcsc.com/product-detail/C20617996.html,SMD2016-4P,Tape & Reel (TR),25MHz,±20ppm,±10ppm,,,,-40℃~+85℃,12pF,100Ω,
