"LCSC Part#","MPN","Manufacturer","Availability","Minimum","Multiples","Product Detail","Package","Packaging","Diode Configuration","Pd - Power Dissipation","Zener Voltage(Nom)","Reverse Leakage Current (Ir)","Zener Voltage(Range)","Operating Junction Temperature Range","Impedance(Zzt)","Impedance(Zzk)","Tolerance"
"C890275","BZX84C51LT1G","onsemi","2680","10","10","https://www.lcsc.com/product-detail/C890275.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","51V","50nA@35.7V","48V~54V","-65℃~+150℃","180Ω","-","-"
"C891723","MMSZ5223BT1G","onsemi","650","10","10","https://www.lcsc.com/product-detail/C891723.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","2.7V","75uA@1V","2.57V~2.84V","-55℃~+150℃","30Ω","1.3kΩ","±5%"
"C891724","MMSZ5231CT1G","onsemi","205","5","5","https://www.lcsc.com/product-detail/C891724.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","5.1V","5uA@2V","4.998V~5.202V","-55℃~+150℃","17Ω","1.6kΩ","±2%"
"C891726","MMSZ5235ET1G","onsemi","424","1","1","https://www.lcsc.com/product-detail/C891726.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","6.8V","3uA@5V","6.46V~7.14V","-55℃~+150℃","5Ω","750Ω","±5%"
"C891728","MMSZ5239BT1G","onsemi","36150","10","10","https://www.lcsc.com/product-detail/C891728.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","9.1V","3uA@7V","8.65V~9.56V","-55℃~+150℃","10Ω","600Ω",""
"C891737","MMSZ5258CT1G","onsemi","245","5","5","https://www.lcsc.com/product-detail/C891737.html","SOD-123","Tape & Reel (TR)","1 Independent","500mW","36V","100nA@27V","35.28V~36.72V","-55℃~+150℃","70Ω","700Ω","±2%"
"C894459","SZBZX84C15ET1G","onsemi","255","5","5","https://www.lcsc.com/product-detail/C894459.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","15V","50nA","13.8V~15.6V","-65℃~+150℃","30Ω","-","-"
"C894462","SZBZX84C20LT1G","onsemi","10","5","5","https://www.lcsc.com/product-detail/C894462.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","20V","50nA@14V","18.8V~21.2V","-65℃~+150℃","55Ω","-","-"
"C894463","SZBZX84C22ET1G","onsemi","100","10","10","https://www.lcsc.com/product-detail/C894463.html","SOT-23-3","Tape & Reel (TR)","1 Independent","250mW","22V","25uA","20.8V~23.3V","-65℃~+150℃","25Ω","-","-"
"C894464","SZBZX84C22LT1G","onsemi","1790","10","10","https://www.lcsc.com/product-detail/C894464.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","22V","50nA@15.4V","20.8V~23.3V","-65℃~+150℃","55Ω","-","-"
"C894467","SZBZX84C2V4ET1G","onsemi","810","10","10","https://www.lcsc.com/product-detail/C894467.html","SOT-23-3","Tape & Reel (TR)","1 Independent","250mW","2.4V","50uA@1V","2.2V~2.6V","-65℃~+150℃","100Ω","-","-"
"C894469","SZBZX84C2V7LT1G","onsemi","20","10","10","https://www.lcsc.com/product-detail/C894469.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","2.7V","20uA@1V","2.5V~2.9V","-65℃~+150℃","100Ω","-","-"
"C894473","SZBZX84C33LT1G","onsemi","115","5","5","https://www.lcsc.com/product-detail/C894473.html","SOT-23","Tape & Reel (TR)","1 Independent","250mW","33V","50nA@23.1V","31V~35V","-65℃~+150℃","80Ω","-","-"
