LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Type,Resistance,Tolerance,Voltage Rating,Power(Watts),Temperature Coefficient
C444328,AC0402FR-0724R3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C444328,10000,0.0041,100,100,https://www.lcsc.com/product-detail/C444328.html,0402,Tape & Reel (TR),Thick Film Resistor,24.3Ω,±1%,50V,62.5mW,±100ppm/℃
C327330,RC0402FR-07634RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C327330,10000,0.0036,100,100,https://www.lcsc.com/product-detail/C327330.html,0402,Tape & Reel (TR),Thick Film Resistor,634Ω,±1%,50V,62.5mW,±100ppm/℃
C228760,AC0805FR-0734KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C228760,10000,0.0097,100,100,https://www.lcsc.com/product-detail/C228760.html,0805,Tape & Reel (TR),Thick Film Resistor,34kΩ,±1%,150V,125mW,±100ppm/℃
C227249,AC0402FR-0784R5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227249,10000,0.0058,100,100,https://www.lcsc.com/product-detail/C227249.html,0402,Tape & Reel (TR),Thick Film Resistor,84.5Ω,±1%,50V,62.5mW,±100ppm/℃
C227205,AC0402FR-076M2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227205,10000,0.0059,100,100,https://www.lcsc.com/product-detail/C227205.html,0402,Tape & Reel (TR),Thick Film Resistor,6.2MΩ,±1%,50V,62.5mW,±100ppm/℃
C227183,AC0402FR-07665KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227183,10000,0.0039,100,100,https://www.lcsc.com/product-detail/C227183.html,0402,Tape & Reel (TR),Thick Film Resistor,665kΩ,±1%,50V,62.5mW,±100ppm/℃
C227162,AC0402FR-075M6L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227162,10000,0.0060,100,100,https://www.lcsc.com/product-detail/C227162.html,0402,Tape & Reel (TR),Thick Film Resistor,5.6MΩ,±1%,50V,62.5mW,±100ppm/℃
C227132,AC0402FR-07536RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227132,10000,0.0058,100,100,https://www.lcsc.com/product-detail/C227132.html,0402,Tape & Reel (TR),Thick Film Resistor,536Ω,±1%,50V,62.5mW,±100ppm/℃
C226377,AC0402FR-0725R5L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226377,10000,0.0058,100,100,https://www.lcsc.com/product-detail/C226377.html,0402,Tape & Reel (TR),Thick Film Resistor,25.5Ω,±1%,50V,62.5mW,±100ppm/℃
C226832,AC0402FR-07191RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226832,10000,0.0058,100,100,https://www.lcsc.com/product-detail/C226832.html,0402,Tape & Reel (TR),Thick Film Resistor,191Ω,±1%,50V,62.5mW,±100ppm/℃
C226745,AC0402FR-07107RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226745,10000,0.0041,100,100,https://www.lcsc.com/product-detail/C226745.html,0402,Tape & Reel (TR),Thick Film Resistor,107Ω,±1%,50V,62.5mW,±100ppm/℃
C185447,RC0402FR-071M8L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C185447,10000,0.0014,100,100,https://www.lcsc.com/product-detail/C185447.html,0402,Tape & Reel (TR),Thick Film Resistor,1.8MΩ,±1%,50V,62.5mW,±100ppm/℃
C20143945,AF0402FR-0721KL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C20143945,9900,0.0047,100,100,https://www.lcsc.com/product-detail/C20143945.html,0402,Tape & Reel (TR),Thick Film Resistor,21kΩ,±1%,,63mW,±100ppm/℃
C7213220,AF0402FR-073K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/ebd14ddabfb2b500a2b3786a8b0d1c4f.pdf?productCode=C7213220,9900,0.0052,100,100,https://www.lcsc.com/product-detail/C7213220.html,0402,Tape & Reel (TR),Thick Film Resistor,3.3kΩ,±1%,50V,63mW,±100ppm/℃
C470022,RC0402FR-072M74L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C470022,9900,0.0044,100,100,https://www.lcsc.com/product-detail/C470022.html,0402,Tape & Reel (TR),Thick Film Resistor,2.74MΩ,±1%,50V,62.5mW,±100ppm/℃
C327366,RC0402FR-0717K4L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C327366,9900,0.0056,100,100,https://www.lcsc.com/product-detail/C327366.html,0402,Tape & Reel (TR),Thick Film Resistor,17.4kΩ,±1%,50V,62.5mW,±100ppm/℃
C273950,RC0805FR-074K12L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273950,9900,0.0071,100,100,https://www.lcsc.com/product-detail/C273950.html,0805,Tape & Reel (TR),Thick Film Resistor,4.12kΩ,±1%,150V,125mW,±100ppm/℃
C273728,RC0402FR-0710R7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C273728,9900,0.0008,100,100,https://www.lcsc.com/product-detail/C273728.html,0402,Tape & Reel (TR),Thick Film Resistor,10.7Ω,±1%,50V,62.5mW,±100ppm/℃
C245955,RC0603FR-07357RL,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/b426be3ce22c6de3e0c3a2248e49159e.pdf?productCode=C245955,9900,0.0067,100,100,https://www.lcsc.com/product-detail/C245955.html,0603,Tape & Reel (TR),Thick Film Resistor,357Ω,±1%,75V,100mW,±100ppm/℃
C227025,AC0402FR-0738K3L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C227025,9900,0.0047,100,100,https://www.lcsc.com/product-detail/C227025.html,0402,Tape & Reel (TR),Thick Film Resistor,38.3kΩ,±1%,50V,62.5mW,±100ppm/℃
C226383,AC0402FR-0726K7L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226383,9900,0.0027,100,100,https://www.lcsc.com/product-detail/C226383.html,0402,Tape & Reel (TR),Thick Film Resistor,26.7kΩ,±1%,50V,62.5mW,±100ppm/℃
C226806,AC0402FR-0716K2L,YAGEO,https://datasheet.lcsc.com/datasheet/pdf/3511efb0564cb1711d9237ab09d6e97b.pdf?productCode=C226806,9900,0.0058,100,100,https://www.lcsc.com/product-detail/C226806.html,0402,Tape & Reel (TR),Thick Film Resistor,16.2kΩ,±1%,50V,62.5mW,±100ppm/℃
