LCSC Part#,MPN,Manufacturer,Datasheet,Availability,Pricing($),Minimum,Multiples,Product Detail,Package,Packaging,Polarity,Clamping Voltage,Reverse Leakage Current (Ir),type,Peak Pulse Power Dissipation (Ppp),Operating Temperature,Reverse Stand-Off Voltage (Vrwm),Voltage - Breakdown,Number of Channels,Peak Pulse Current (Ipp)
C1977008,TPSMB64CA-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/5212ad8dfcd5d7f6ac36b8fc64cba5a4.pdf?productCode=C1977008,205,0.7685,1,1,https://www.lcsc.com/product-detail/C1977008.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,103V,1uA,TVS,600W@10/1000us,-65℃~+175℃,64V,71.1V,,5.9A
C1976837,TPSMB20CA-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/5212ad8dfcd5d7f6ac36b8fc64cba5a4.pdf?productCode=C1976837,202,0.7685,1,1,https://www.lcsc.com/product-detail/C1976837.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,32.4V,1uA,TVS,600W@10/1000us,-65℃~+175℃,20V,22.2V,,18.6A
C224030,SMBJ8.5A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224030,185,0.1471,5,5,https://www.lcsc.com/product-detail/C224030.html,DO-214AA,Tape & Reel (TR),Unidirectional,14.4V,20uA,TVS,600W@10/1000us,-65℃~+150℃,8.5V,10.4V,1,41.7A@10/1000us
C1976840,TPSMB40CA-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/5212ad8dfcd5d7f6ac36b8fc64cba5a4.pdf?productCode=C1976840,184,0.7604,1,1,https://www.lcsc.com/product-detail/C1976840.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,64.5V,1uA,TVS,600W@10/1000us,-65℃~+175℃,40V,44.4V,,9.3A
C151271,SMBJ9.0A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C151271,180,0.1310,5,5,https://www.lcsc.com/product-detail/C151271.html,DO-214AA,Tape & Reel (TR),Unidirectional,15.4V,10uA,TVS,600W@10/1000us,-65℃~+150℃,9V,11.1V,1,39A@10/1000us
C3709539,1.5SMB24A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/81646d782d1586f03d8f832f24e3103c.pdf?productCode=C3709539,164,0.5849,1,1,https://www.lcsc.com/product-detail/C3709539.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,33.2V,1uA,TVS,1.5kW,-65℃~+150℃,20.5V,22.8V,1,45A
C224015,SMBJ22A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224015,160,0.1320,5,5,https://www.lcsc.com/product-detail/C224015.html,DO-214AA,Tape & Reel (TR),Unidirectional,35.5V,1uA,TVS,600W@10/1000us,-65℃~+150℃,22V,26.9V,1,16.9A@10/1000us
C1975144,1KSMB160A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/71b715e30fe86ecd8d5110ae9c92fdf2.pdf?productCode=C1975144,158,0.9033,1,1,https://www.lcsc.com/product-detail/C1975144.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,219V,1uA,TVS,1kW@10/1000us,-65℃~+150℃,136V,152V,1,4.6A
C224009,SMBJ150A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/4ab84a227fae39f9eac85241b8264ead.pdf?productCode=C224009,155,0.1778,5,5,https://www.lcsc.com/product-detail/C224009.html,DO-214AA,Tape & Reel (TR),Unidirectional,243V,1uA,TVS,600W@10/1000us,-65℃~+150℃,150V,185V,1,2.5A@10/1000us
C1975863,TPSMB250A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/c4b05efd8433d3cce79b8c6653d5b081.pdf?productCode=C1975863,152,1.0236,1,1,https://www.lcsc.com/product-detail/C1975863.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,344V,800nA,TVS,600W@10/1000us,-65℃~+150℃,214V,237V,,1.8A
C1977134,TPSMB12CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/c4b05efd8433d3cce79b8c6653d5b081.pdf?productCode=C1977134,150,0.7636,1,1,https://www.lcsc.com/product-detail/C1977134.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,16.7V,1uA,TVS,600W@10/1000us,-65℃~+175℃,10.2V,12.6V,,36.5A
C3707271,TPSMB28A-VR,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/5212ad8dfcd5d7f6ac36b8fc64cba5a4.pdf?productCode=C3707271,148,0.5384,1,1,https://www.lcsc.com/product-detail/C3707271.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,45.4V,1uA,TVS,600W,-65℃~+175℃,28V,31.1V,,13.3A
C1981219,1KSMB10A,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/71b715e30fe86ecd8d5110ae9c92fdf2.pdf?productCode=C1981219,144,0.8806,1,1,https://www.lcsc.com/product-detail/C1981219.html,DO-214AA(SMBJ),Tape & Reel (TR),Unidirectional,14.5V,8uA,TVS,1kW@10/1000us,-65℃~+150℃,8.55V,9.5V,1,69A
C1883609,1KSMB100CA,Littelfuse,https://datasheet.lcsc.com/datasheet/pdf/71b715e30fe86ecd8d5110ae9c92fdf2.pdf?productCode=C1883609,139,1.0187,1,1,https://www.lcsc.com/product-detail/C1883609.html,DO-214AA(SMBJ),Tape & Reel (TR),Bidirectional,137V,1uA,TVS,1kW@10/1000us,-65℃~+150℃,85.5V,105V,1,7.3A@10/1000us
